id, prediction
0,positive
1,negative
2,negative
3,negative
4,negative
5,positive
6,negative
7,negative
8,negative
9,negative
10,negative
11,positive
12,positive
13,positive
14,positive
15,positive
16,positive
17,positive
18,negative
19,positive
20,positive
21,positive
22,positive
23,positive
24,positive
25,negative
26,negative
27,negative
28,negative
29,negative
30,negative
31,positive
32,negative
33,negative
34,positive
35,negative
36,negative
37,negative
38,positive
39,positive
40,negative
41,negative
42,negative
43,positive
44,negative
45,negative
46,negative
47,positive
48,negative
49,negative
50,positive
51,positive
52,negative
53,positive
54,negative
55,negative
56,negative
57,negative
58,positive
59,positive
60,positive
61,negative
62,negative
63,negative
64,negative
65,positive
66,negative
67,positive
68,positive
69,negative
70,positive
71,positive
72,positive
73,positive
74,positive
75,positive
76,positive
77,positive
78,negative
79,negative
80,positive
81,positive
82,negative
83,positive
84,positive
85,negative
86,positive
87,negative
88,positive
89,positive
90,positive
91,negative
92,negative
93,negative
94,positive
95,positive
96,positive
97,negative
98,positive
99,positive
100,positive
101,negative
102,negative
103,positive
104,negative
105,positive
106,positive
107,negative
108,positive
109,positive
110,positive
111,positive
112,positive
113,negative
114,positive
115,positive
116,positive
117,positive
118,positive
119,positive
120,positive
121,negative
122,positive
123,negative
124,positive
125,positive
126,positive
127,negative
128,negative
129,positive
130,positive
131,negative
132,positive
133,positive
134,negative
135,negative
136,positive
137,negative
138,negative
139,positive
140,positive
141,positive
142,positive
143,positive
144,positive
145,positive
146,negative
147,positive
148,negative
149,negative
150,positive
151,negative
152,positive
153,negative
154,positive
155,negative
156,negative
157,positive
158,negative
159,negative
160,negative
161,negative
162,negative
163,negative
164,positive
165,positive
166,negative
167,positive
168,negative
169,negative
170,positive
171,positive
172,negative
173,positive
174,negative
175,positive
176,negative
177,positive
178,negative
179,positive
180,negative
181,positive
182,negative
183,positive
184,negative
185,positive
186,positive
187,positive
188,positive
189,negative
190,negative
191,positive
192,negative
193,positive
194,positive
195,positive
196,positive
197,negative
198,negative
199,positive
200,negative
201,positive
202,positive
203,negative
204,positive
205,positive
206,positive
207,positive
208,positive
209,negative
210,positive
211,negative
212,negative
213,positive
214,positive
215,negative
216,negative
217,positive
218,negative
219,positive
220,positive
221,negative
222,positive
223,positive
224,positive
225,negative
226,negative
227,negative
228,negative
229,positive
230,positive
231,negative
232,positive
233,negative
234,negative
235,negative
236,negative
237,negative
238,positive
239,positive
240,positive
241,positive
242,positive
243,positive
244,positive
245,positive
246,positive
247,positive
248,positive
249,positive
250,positive
251,positive
252,negative
253,positive
254,positive
255,positive
256,positive
257,negative
258,negative
259,positive
260,negative
261,positive
262,negative
263,negative
264,positive
265,negative
266,negative
267,negative
268,positive
269,negative
270,positive
271,positive
272,negative
273,positive
274,negative
275,positive
276,negative
277,positive
278,negative
279,positive
280,positive
281,positive
282,positive
283,positive
284,negative
285,negative
286,positive
287,positive
288,positive
289,positive
290,positive
291,negative
292,positive
293,positive
294,negative
295,positive
296,positive
297,positive
298,positive
299,positive
300,positive
301,positive
302,negative
303,positive
304,positive
305,positive
306,positive
307,positive
308,negative
309,positive
310,negative
311,negative
312,negative
313,positive
314,positive
315,negative
316,negative
317,positive
318,negative
319,negative
320,positive
321,negative
322,negative
323,positive
324,negative
325,negative
326,positive
327,negative
328,negative
329,positive
330,positive
331,positive
332,negative
333,negative
334,negative
335,negative
336,negative
337,positive
338,positive
339,negative
340,negative
341,positive
342,negative
343,negative
344,negative
345,positive
346,negative
347,positive
348,negative
349,negative
350,negative
351,positive
352,negative
353,positive
354,negative
355,positive
356,positive
357,negative
358,negative
359,negative
360,negative
361,negative
362,positive
363,positive
364,negative
365,positive
366,negative
367,negative
368,positive
369,negative
370,negative
371,positive
372,positive
373,positive
374,positive
375,positive
376,negative
377,negative
378,negative
379,negative
380,positive
381,negative
382,negative
383,negative
384,positive
385,negative
386,negative
387,negative
388,negative
389,negative
390,negative
391,positive
392,positive
393,negative
394,negative
395,negative
396,negative
397,negative
398,negative
399,negative
400,negative
401,positive
402,positive
403,positive
404,negative
405,positive
406,negative
407,negative
408,positive
409,negative
410,negative
411,positive
412,positive
413,positive
414,positive
415,negative
416,negative
417,positive
418,positive
419,negative
420,negative
421,positive
422,positive
423,positive
424,positive
425,positive
426,negative
427,negative
428,positive
429,negative
430,positive
431,positive
432,positive
433,negative
434,positive
435,positive
436,negative
437,negative
438,negative
439,negative
440,negative
441,positive
442,positive
443,positive
444,positive
445,positive
446,positive
447,positive
448,positive
449,negative
450,negative
451,negative
452,negative
453,negative
454,positive
455,positive
456,negative
457,negative
458,negative
459,positive
460,positive
461,positive
462,negative
463,negative
464,negative
465,positive
466,negative
467,positive
468,positive
469,positive
470,negative
471,positive
472,negative
473,positive
474,positive
475,negative
476,positive
477,positive
478,negative
479,negative
480,positive
481,positive
482,negative
483,positive
484,positive
485,positive
486,positive
487,negative
488,negative
489,negative
490,negative
491,negative
492,negative
493,negative
494,negative
495,negative
496,negative
497,negative
498,negative
499,negative
500,negative
501,negative
502,negative
503,negative
504,negative
505,negative
506,negative
507,negative
508,negative
509,negative
510,negative
511,negative
512,negative
513,negative
514,negative
515,negative
516,negative
517,negative
518,negative
519,negative
520,negative
521,negative
522,negative
523,negative
524,negative
525,negative
526,negative
527,negative
528,negative
529,negative
530,negative
531,negative
532,negative
533,negative
534,negative
535,negative
536,negative
537,positive
538,negative
539,negative
540,negative
541,negative
542,negative
543,negative
544,negative
545,negative
546,negative
547,positive
548,negative
549,negative
550,negative
551,negative
552,negative
553,negative
554,negative
555,negative
556,negative
557,negative
558,negative
559,negative
560,negative
561,negative
562,negative
563,negative
564,negative
565,negative
566,negative
567,negative
568,negative
569,negative
570,negative
571,negative
572,negative
573,negative
574,negative
575,negative
576,negative
577,negative
578,negative
579,negative
580,negative
581,negative
582,negative
583,negative
584,negative
585,negative
586,negative
587,negative
588,positive
589,negative
590,negative
591,negative
592,positive
593,negative
594,negative
595,negative
596,positive
597,positive
598,negative
599,negative
600,negative
601,negative
602,positive
603,negative
604,negative
605,negative
606,negative
607,negative
608,negative
609,negative
610,positive
611,negative
612,negative
613,negative
614,negative
615,positive
616,positive
617,positive
618,negative
619,negative
620,negative
621,negative
622,positive
623,negative
624,negative
625,negative
626,positive
627,negative
628,positive
629,negative
630,positive
631,negative
632,negative
633,negative
634,negative
635,positive
636,negative
637,negative
638,negative
639,negative
640,negative
641,positive
642,negative
643,negative
644,negative
645,negative
646,negative
647,positive
648,negative
649,positive
650,negative
651,negative
652,negative
653,positive
654,negative
655,positive
656,positive
657,positive
658,negative
659,negative
660,negative
661,negative
662,negative
663,negative
664,positive
665,positive
666,negative
667,positive
668,negative
669,negative
670,negative
671,negative
672,negative
673,negative
674,negative
675,negative
676,positive
677,negative
678,negative
679,negative
680,positive
681,positive
682,positive
683,negative
684,positive
685,negative
686,negative
687,negative
688,positive
689,negative
690,positive
691,positive
692,positive
693,negative
694,positive
695,negative
696,positive
697,positive
698,positive
699,positive
700,positive
701,negative
702,positive
703,negative
704,negative
705,negative
706,positive
707,positive
708,positive
709,positive
710,positive
711,positive
712,positive
713,positive
714,positive
715,negative
716,negative
717,positive
718,negative
719,positive
720,negative
721,positive
722,positive
723,positive
724,negative
725,positive
726,positive
727,positive
728,positive
729,positive
730,positive
731,positive
732,positive
733,positive
734,positive
735,negative
736,positive
737,negative
738,positive
739,positive
740,positive
741,positive
742,positive
743,positive
744,positive
745,positive
746,positive
747,positive
748,positive
749,positive
750,positive
751,negative
752,positive
753,positive
754,positive
755,positive
756,negative
757,positive
758,positive
759,positive
760,positive
761,positive
762,negative
763,negative
764,positive
765,negative
766,positive
767,positive
768,positive
769,positive
770,positive
771,negative
772,positive
773,negative
774,positive
775,positive
776,positive
777,positive
778,positive
779,negative
780,positive
781,negative
782,negative
783,positive
784,positive
785,negative
786,positive
787,positive
788,positive
789,negative
790,negative
791,negative
792,negative
793,positive
794,positive
795,positive
796,positive
797,positive
798,positive
799,positive
800,positive
801,positive
802,positive
803,positive
804,negative
805,positive
806,positive
807,negative
808,negative
809,positive
810,positive
811,positive
812,positive
813,positive
814,positive
815,positive
816,negative
817,positive
818,negative
819,negative
820,negative
821,positive
822,positive
823,positive
824,positive
825,negative
826,negative
827,positive
828,positive
829,positive
830,positive
831,positive
832,positive
833,positive
834,negative
835,positive
836,negative
837,positive
838,negative
839,positive
840,negative
841,positive
842,positive
843,positive
844,negative
845,positive
846,negative
847,positive
848,negative
849,positive
850,positive
851,positive
852,positive
853,positive
854,positive
855,positive
856,positive
857,positive
858,positive
859,positive
860,positive
861,positive
862,positive
863,positive
864,positive
865,negative
866,positive
867,positive
868,negative
869,positive
870,positive
871,positive
872,positive
873,positive
874,positive
875,positive
876,positive
877,positive
878,positive
879,positive
880,positive
881,positive
882,positive
883,positive
884,positive
885,positive
886,positive
887,positive
888,positive
889,positive
890,positive
891,negative
892,positive
893,negative
894,positive
895,negative
896,negative
897,positive
898,negative
899,positive
900,negative
901,positive
902,negative
903,positive
904,positive
905,negative
906,positive
907,negative
908,positive
909,negative
910,negative
911,positive
912,negative
913,positive
914,positive
915,positive
916,positive
917,negative
918,negative
919,positive
920,positive
921,positive
922,positive
923,negative
924,positive
925,positive
926,negative
927,positive
928,positive
929,negative
930,positive
931,positive
932,negative
933,positive
934,negative
935,positive
936,negative
937,negative
938,positive
939,negative
940,negative
941,negative
942,negative
943,negative
944,negative
945,negative
946,negative
947,positive
948,negative
949,positive
950,negative
951,positive
952,negative
953,positive
954,positive
955,positive
956,negative
957,positive
958,negative
959,positive
960,positive
961,positive
962,negative
963,negative
964,positive
965,positive
966,positive
967,positive
968,negative
969,negative
970,negative
971,positive
972,positive
973,negative
974,positive
975,positive
976,positive
977,negative
978,negative
979,negative
980,negative
981,positive
982,positive
983,positive
984,negative
985,negative
986,negative
987,negative
988,positive
989,negative
990,positive
991,positive
992,positive
993,positive
994,negative
995,positive
996,positive
997,positive
998,positive
999,negative
1000,negative
1001,negative
1002,negative
1003,positive
1004,positive
1005,negative
1006,negative
1007,positive
1008,positive
1009,negative
1010,negative
1011,negative
1012,negative
1013,negative
1014,negative
1015,negative
1016,positive
1017,negative
1018,negative
1019,negative
1020,negative
1021,negative
1022,positive
1023,positive
1024,positive
1025,positive
1026,positive
1027,negative
1028,positive
1029,negative
1030,negative
1031,negative
1032,positive
1033,negative
1034,negative
1035,negative
1036,negative
1037,negative
1038,negative
1039,negative
1040,negative
1041,negative
1042,positive
1043,negative
1044,negative
1045,negative
1046,negative
1047,negative
1048,negative
1049,positive
1050,negative
1051,negative
1052,negative
1053,negative
1054,negative
1055,negative
1056,negative
1057,negative
1058,negative
1059,negative
1060,negative
1061,negative
1062,negative
1063,positive
1064,positive
1065,negative
1066,positive
1067,positive
1068,negative
1069,negative
1070,negative
1071,positive
1072,positive
1073,negative
1074,positive
1075,negative
1076,negative
1077,negative
1078,negative
1079,negative
1080,positive
1081,positive
1082,positive
1083,positive
1084,negative
1085,positive
1086,negative
1087,positive
1088,negative
1089,positive
1090,negative
1091,positive
1092,negative
1093,negative
1094,negative
1095,negative
1096,positive
1097,negative
1098,negative
1099,positive
1100,negative
1101,positive
1102,negative
1103,negative
1104,negative
1105,negative
1106,positive
1107,negative
1108,positive
1109,positive
1110,positive
1111,negative
1112,negative
1113,positive
1114,positive
1115,negative
1116,negative
1117,positive
1118,negative
1119,positive
1120,positive
1121,negative
1122,positive
1123,negative
1124,positive
1125,positive
1126,positive
1127,negative
1128,positive
1129,negative
1130,negative
1131,negative
1132,positive
1133,negative
1134,negative
1135,negative
1136,positive
1137,positive
1138,positive
1139,positive
1140,negative
1141,positive
1142,positive
1143,positive
1144,negative
1145,negative
1146,negative
1147,negative
1148,negative
1149,positive
1150,negative
1151,negative
1152,positive
1153,negative
1154,negative
1155,positive
1156,negative
1157,negative
1158,positive
1159,positive
1160,positive
1161,negative
1162,positive
1163,negative
1164,positive
1165,positive
1166,positive
1167,negative
1168,negative
1169,negative
1170,negative
1171,negative
1172,negative
1173,negative
1174,negative
1175,negative
1176,negative
1177,negative
1178,negative
1179,negative
1180,positive
1181,negative
1182,negative
1183,positive
1184,negative
1185,negative
1186,positive
1187,negative
1188,positive
1189,positive
1190,negative
1191,negative
1192,negative
1193,negative
1194,negative
1195,negative
1196,negative
1197,positive
1198,negative
1199,positive
1200,positive
1201,negative
1202,negative
1203,negative
1204,negative
1205,negative
1206,negative
1207,negative
1208,negative
1209,negative
1210,negative
1211,negative
1212,negative
1213,negative
1214,negative
1215,negative
1216,positive
1217,negative
1218,negative
1219,positive
1220,negative
1221,negative
1222,negative
1223,negative
1224,negative
1225,positive
1226,negative
1227,positive
1228,positive
1229,negative
1230,positive
1231,positive
1232,positive
1233,positive
1234,positive
1235,negative
1236,positive
1237,negative
1238,positive
1239,negative
1240,negative
1241,positive
1242,negative
1243,positive
1244,positive
1245,positive
1246,positive
1247,positive
1248,negative
1249,positive
1250,positive
1251,positive
1252,positive
1253,negative
1254,negative
1255,negative
1256,positive
1257,positive
1258,negative
1259,positive
1260,negative
1261,positive
1262,positive
1263,negative
1264,negative
1265,negative
1266,positive
1267,negative
1268,positive
1269,negative
1270,negative
1271,positive
1272,positive
1273,positive
1274,positive
1275,positive
1276,negative
1277,negative
1278,positive
1279,positive
1280,negative
1281,positive
1282,negative
1283,positive
1284,negative
1285,negative
1286,negative
1287,positive
1288,negative
1289,positive
1290,positive
1291,negative
1292,positive
1293,negative
1294,positive
1295,positive
1296,positive
1297,positive
1298,positive
1299,positive
1300,negative
1301,positive
1302,positive
1303,positive
1304,negative
1305,positive
1306,negative
1307,negative
1308,positive
1309,negative
1310,positive
1311,negative
1312,negative
1313,negative
1314,negative
1315,negative
1316,positive
1317,positive
1318,positive
1319,positive
1320,positive
1321,negative
1322,negative
1323,negative
1324,positive
1325,negative
1326,positive
1327,negative
1328,positive
1329,positive
1330,negative
1331,positive
1332,negative
1333,negative
1334,positive
1335,positive
1336,positive
1337,positive
1338,negative
1339,positive
1340,positive
1341,positive
1342,positive
1343,positive
1344,positive
1345,negative
1346,negative
1347,negative
1348,positive
1349,positive
1350,positive
1351,negative
1352,positive
1353,positive
1354,negative
1355,positive
1356,positive
1357,negative
1358,positive
1359,negative
1360,positive
1361,negative
1362,negative
1363,positive
1364,negative
1365,positive
1366,negative
1367,negative
1368,negative
1369,positive
1370,negative
1371,negative
1372,positive
1373,negative
1374,negative
1375,positive
1376,negative
1377,negative
1378,positive
1379,positive
1380,positive
1381,positive
1382,positive
1383,positive
1384,positive
1385,negative
1386,positive
1387,positive
1388,negative
1389,negative
1390,negative
1391,negative
1392,negative
1393,positive
1394,positive
1395,positive
1396,positive
1397,positive
1398,positive
1399,positive
1400,positive
1401,positive
1402,positive
1403,positive
1404,positive
1405,positive
1406,negative
1407,positive
1408,negative
1409,positive
1410,positive
1411,positive
1412,positive
1413,positive
1414,positive
1415,positive
1416,negative
1417,positive
1418,negative
1419,positive
1420,negative
1421,negative
1422,positive
1423,positive
1424,positive
1425,positive
1426,negative
1427,positive
1428,negative
1429,negative
1430,positive
1431,positive
1432,positive
1433,positive
1434,positive
1435,negative
1436,negative
1437,positive
1438,negative
1439,negative
1440,negative
1441,positive
1442,negative
1443,positive
1444,negative
1445,positive
1446,negative
1447,positive
1448,negative
1449,positive
1450,positive
1451,negative
1452,positive
1453,positive
1454,positive
1455,positive
1456,negative
1457,negative
1458,negative
1459,positive
1460,positive
1461,negative
1462,positive
1463,positive
1464,negative
1465,negative
1466,positive
1467,positive
1468,positive
1469,positive
1470,positive
1471,negative
1472,negative
1473,negative
1474,negative
1475,negative
1476,negative
1477,positive
1478,positive
1479,negative
1480,negative
1481,negative
1482,negative
1483,negative
1484,negative
1485,positive
1486,positive
1487,positive
1488,negative
1489,negative
1490,positive
1491,negative
1492,positive
1493,positive
1494,positive
1495,negative
1496,negative
1497,positive
1498,negative
1499,positive
1500,positive
1501,positive
1502,positive
1503,positive
1504,negative
1505,negative
1506,negative
1507,negative
1508,negative
1509,negative
1510,positive
1511,negative
1512,negative
1513,positive
1514,positive
1515,positive
1516,positive
1517,negative
1518,negative
1519,positive
1520,negative
1521,negative
1522,positive
1523,positive
1524,positive
1525,positive
1526,positive
1527,positive
1528,positive
1529,positive
1530,negative
1531,negative
1532,negative
1533,negative
1534,positive
1535,negative
1536,negative
1537,negative
1538,positive
1539,positive
1540,negative
1541,negative
1542,negative
1543,negative
1544,positive
1545,positive
1546,positive
1547,positive
1548,positive
1549,positive
1550,positive
1551,negative
1552,positive
1553,positive
1554,negative
1555,positive
1556,negative
1557,positive
1558,negative
1559,positive
1560,positive
1561,positive
1562,positive
1563,positive
1564,positive
1565,positive
1566,positive
1567,negative
1568,positive
1569,negative
1570,negative
1571,negative
1572,negative
1573,positive
1574,positive
1575,positive
1576,negative
1577,positive
1578,positive
1579,positive
1580,positive
1581,positive
1582,positive
1583,positive
1584,negative
1585,negative
1586,positive
1587,positive
1588,positive
1589,positive
1590,positive
1591,positive
1592,positive
1593,positive
1594,positive
1595,positive
1596,positive
1597,positive
1598,negative
1599,positive
1600,positive
1601,negative
1602,positive
1603,positive
1604,positive
1605,negative
1606,negative
1607,positive
1608,positive
1609,negative
1610,positive
1611,negative
1612,positive
1613,positive
1614,negative
1615,negative
1616,positive
1617,positive
1618,negative
1619,positive
1620,positive
1621,positive
1622,positive
1623,positive
1624,negative
1625,positive
1626,positive
1627,positive
1628,positive
1629,negative
1630,positive
1631,positive
1632,positive
1633,positive
1634,positive
1635,positive
1636,positive
1637,positive
1638,positive
1639,positive
1640,positive
1641,positive
1642,positive
1643,positive
1644,positive
1645,positive
1646,positive
1647,positive
1648,positive
1649,positive
1650,positive
1651,positive
1652,positive
1653,positive
1654,positive
1655,positive
1656,positive
1657,negative
1658,positive
1659,negative
1660,negative
1661,negative
1662,positive
1663,positive
1664,positive
1665,positive
1666,positive
1667,positive
1668,positive
1669,positive
1670,negative
1671,positive
1672,positive
1673,positive
1674,positive
1675,positive
1676,positive
1677,positive
1678,negative
1679,positive
1680,positive
1681,positive
1682,positive
1683,positive
1684,positive
1685,positive
1686,positive
1687,positive
1688,positive
1689,negative
1690,positive
1691,negative
1692,positive
1693,positive
1694,positive
1695,positive
1696,positive
1697,positive
1698,positive
1699,negative
1700,positive
1701,negative
1702,negative
1703,positive
1704,positive
1705,positive
1706,positive
1707,negative
1708,negative
1709,negative
1710,negative
1711,negative
1712,positive
1713,positive
1714,positive
1715,positive
1716,positive
1717,negative
1718,negative
1719,negative
1720,negative
1721,negative
1722,positive
1723,negative
1724,negative
1725,positive
1726,positive
1727,negative
1728,positive
1729,positive
1730,positive
1731,negative
1732,positive
1733,positive
1734,positive
1735,positive
1736,negative
1737,positive
1738,positive
1739,positive
1740,positive
1741,negative
1742,positive
1743,negative
1744,positive
1745,positive
1746,positive
1747,negative
1748,positive
1749,positive
1750,negative
1751,negative
1752,negative
1753,positive
1754,negative
1755,positive
1756,negative
1757,positive
1758,positive
1759,positive
1760,positive
1761,positive
1762,positive
1763,negative
1764,positive
1765,positive
1766,positive
1767,positive
1768,negative
1769,positive
1770,positive
1771,positive
1772,positive
1773,negative
1774,negative
1775,negative
1776,positive
1777,positive
1778,positive
1779,positive
1780,positive
1781,negative
1782,positive
1783,positive
1784,positive
1785,positive
1786,positive
1787,negative
1788,positive
1789,positive
1790,positive
1791,positive
1792,positive
1793,positive
1794,positive
1795,positive
1796,positive
1797,negative
1798,positive
1799,positive
1800,negative
1801,positive
1802,positive
1803,positive
1804,positive
1805,negative
1806,negative
1807,positive
1808,positive
1809,positive
1810,positive
1811,positive
1812,positive
1813,negative
1814,positive
1815,positive
1816,negative
1817,positive
1818,positive
1819,positive
1820,negative
1821,positive
1822,negative
1823,negative
1824,positive
1825,negative
1826,negative
1827,positive
1828,positive
1829,negative
1830,negative
1831,positive
1832,negative
1833,positive
1834,negative
1835,positive
1836,negative
1837,negative
1838,positive
1839,positive
1840,positive
1841,negative
1842,negative
1843,negative
1844,positive
1845,positive
1846,positive
1847,negative
1848,positive
1849,positive
1850,negative
1851,positive
1852,positive
1853,positive
1854,negative
1855,negative
1856,negative
1857,negative
1858,positive
1859,positive
1860,positive
1861,positive
1862,negative
1863,negative
1864,negative
1865,negative
1866,positive
1867,negative
1868,negative
1869,negative
1870,negative
1871,negative
1872,positive
1873,positive
1874,negative
1875,negative
1876,negative
1877,positive
1878,positive
1879,negative
1880,negative
1881,negative
1882,negative
1883,negative
1884,positive
1885,negative
1886,positive
1887,positive
1888,positive
1889,positive
1890,positive
1891,positive
1892,positive
1893,negative
1894,negative
1895,positive
1896,negative
1897,negative
1898,positive
1899,positive
1900,positive
1901,negative
1902,negative
1903,negative
1904,positive
1905,positive
1906,positive
1907,negative
1908,positive
1909,positive
1910,negative
1911,positive
1912,positive
1913,negative
1914,negative
1915,negative
1916,positive
1917,negative
1918,negative
1919,positive
1920,negative
1921,negative
1922,positive
1923,negative
1924,positive
1925,positive
1926,positive
1927,positive
1928,positive
1929,positive
1930,negative
1931,positive
1932,negative
1933,negative
1934,negative
1935,positive
1936,positive
1937,positive
1938,positive
1939,positive
1940,positive
1941,positive
1942,positive
1943,positive
1944,positive
1945,positive
1946,positive
1947,positive
1948,negative
1949,negative
1950,positive
1951,positive
1952,positive
1953,positive
1954,positive
1955,positive
1956,positive
1957,negative
1958,positive
1959,positive
1960,positive
1961,negative
1962,positive
1963,negative
1964,negative
1965,positive
1966,positive
1967,positive
1968,positive
1969,positive
1970,negative
1971,negative
1972,positive
1973,positive
1974,negative
1975,positive
1976,positive
1977,positive
1978,positive
1979,positive
1980,negative
1981,negative
1982,positive
1983,negative
1984,negative
1985,positive
1986,negative
1987,positive
1988,positive
1989,positive
1990,negative
1991,positive
1992,negative
1993,negative
1994,negative
1995,negative
1996,positive
1997,negative
1998,negative
1999,negative
2000,positive
2001,negative
2002,positive
2003,positive
2004,negative
2005,positive
2006,positive
2007,positive
2008,positive
2009,positive
2010,positive
2011,negative
2012,negative
2013,negative
2014,positive
2015,negative
2016,positive
2017,negative
2018,positive
2019,negative
2020,negative
2021,positive
2022,negative
2023,positive
2024,positive
2025,negative
2026,positive
2027,positive
2028,positive
2029,positive
2030,negative
2031,positive
2032,positive
2033,positive
2034,positive
2035,positive
2036,negative
2037,negative
2038,negative
2039,negative
2040,positive
2041,positive
